"id","title","date_added","publish","category","filename","filename"
"370","2024 Fellowship Application Pack","10/11/2024","yes","membership","2024 Fellowship Application Pack.pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/2024 Fellowship Application Pack.pdf"
"372","2024 Fellowship Guidelines","10/11/2024","yes","membership","2024 Fellowship Guidelines.pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/2024 Fellowship Guidelines.pdf"
"289","AE Final Slides 30 March 2023","4/19/2023","yes","general","AE Final Slides 30 March 2023.pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/AE Final Slides 30 March 2023.pdf"
"291","AE Synopsis 30 March 2023","4/19/2023","yes","general","AE Synopsis.pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/AE Synopsis.pdf"
"354","IIPM April 2024 - Slides - Q&A","4/25/2024","yes","past_seminars","Auto Enrolment April 2024 with Q&A_25.04.2024_0.pptx","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/Auto Enrolment April 2024 with Q&A_25.04.2024_0.pptx"
"356","IIPM May 2024 - Auto Enrolment - Slides","5/24/2024","yes","past_seminars","Auto Enrolment May 2024 v2.pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/Auto Enrolment May 2024 v2.pdf"
"358","IIPM May Webinar Q&A follow up","6/20/2024","yes","past_seminars","Auto Enrolment Q&A May 2024.pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/Auto Enrolment Q&A May 2024.pdf"
"254","Cert HDip Information for Employers","7/6/2022","yes","general","Cert HDip Information for Employers.pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/Cert HDip Information for Employers.pdf"
"307","Certificate in Law & Governance for Trustees (QPT) timetable - Autumn 2023 intake","7/5/2023","yes","general","CLGT PT Timetable for Autumn 2023 GC IIPM.pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/CLGT PT Timetable for Autumn 2023 GC IIPM.pdf"
"330","Certificate Timetable Spring 2024","2/1/2024","yes","general","CPII Springboard Feb 2024 Intake AY2324 S2.pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/CPII Springboard Feb 2024 Intake AY2324 S2.pdf"
"305","Higher Diploma & Cert timetable - Sept 2023 intake","7/5/2023","yes","general","HDPM-CPII  PT Timetable 1 for Sept 23 Intake AY2324 S1_0.pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/HDPM-CPII  PT Timetable 1 for Sept 23 Intake AY2324 S1_0.pdf"
"230","How to download your CPD certificate","12/15/2021","yes","past_seminars","How to download your CPD certificate.pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/How to download your CPD certificate.pdf"
"232","How to pay your IIPM annual subscription","3/10/2022","yes","membership","How to pay your IIPM annual subscription online.pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/How to pay your IIPM annual subscription online.pdf"
"287","IIPM 2022 Full Accounts","4/5/2023","yes","general","IIPM 2022 Signed Full Accounts.pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM 2022 Signed Full Accounts.pdf"
"332","IIPM 2023 Financial Statements","3/26/2024","yes","general","IIPM 2023 Financial Statements (Signed).pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM 2023 Financial Statements (Signed).pdf"
"334","IIPM AGM Minutes 2023","3/26/2024","yes","general","IIPM AGM Minutes 2023.pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM AGM Minutes 2023.pdf"
"295","IIPM April 2023 Webinar","4/21/2023","yes","past_seminars","IIPM April Webinar Slides FINAL_0.pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM April Webinar Slides FINAL_0.pdf"
"364","IIPM Course Brochure 2024 v2","8/15/2024","yes","programmes","IIPM Course Brochure 2024 v2.pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM Course Brochure 2024 v2.pdf"
"362","IIPM Course Brochure 2024","7/29/2024","yes","programmes","IIPM Course Brochure 2024.pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM Course Brochure 2024.pdf"
"376","IIPM CPD Codes 2024","12/5/2024","yes","past_seminars","IIPM CPD 2024_Full List.pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM CPD 2024_Full List.pdf"
"216","IIPM CPD Request Form","6/30/2021","yes","past_seminars","IIPM CPD Accreditation Request Form 2021.docx","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM CPD Accreditation Request Form 2021.docx"
"326","IIPM CPD Codes 2023","12/12/2023","yes","past_seminars","IIPM CPD Events 2023_0.pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM CPD Events 2023_0.pdf"
"226","IIPM December Webinar","12/2/2021","yes","general","IIPM December 2021.pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM December 2021.pdf"
"378","IIPM December 2024 Seminar - Slides","12/12/2024","yes","past_seminars","IIPM December Final 2024 Slides.pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM December Final 2024 Slides.pdf"
"322","IIPM December 2023 Seminar","12/8/2023","yes","past_seminars","IIPM Ethics 2023 EH Slides.pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM Ethics 2023 EH Slides.pdf"
"380","IIPM February 2025 Webinar - Slides","2/13/2025","yes","past_seminars","IIPM February 2025 FINAL SLIDES.pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM February 2025 FINAL SLIDES.pdf"
"382","IIPM March 2025 Webinar - Slides","3/21/2025","yes","past_seminars","IIPM Final Slides March 2025.pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM Final Slides March 2025.pdf"
"298","IIPM June 2023 Seminar - Delegate Slides","6/21/2023","yes","past_seminars","IIPM June Seminar SLIDES.pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM June Seminar SLIDES.pdf"
"267","IIPM March 2023 Webinar","3/10/2023","yes","past_seminars","IIPM March Webinar Slides.pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM March Webinar Slides.pdf"
"297","IIPM & APLI May 2023 Webinar","5/26/2023","yes","past_seminars","IIPM May Webinar - Delegate Slides.pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM May Webinar - Delegate Slides.pdf"
"211","IIPM Inaugural Annual Conference 2019","11/15/2019","yes","general","IIPM November Conference .pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM November Conference .pdf"
"316","IIPM November 2023 webinar","11/10/2023","yes","past_seminars","IIPM November FINAL SLIDES.pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM November FINAL SLIDES.pdf"
"209","IIPM October Seminar 2019","1/7/2020","yes","general","IIPM October Seminar.pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM October Seminar.pdf"
"205","Resetting your password on the IIPM portal","12/16/2019","yes","general","IIPM Portal Password Reset Procedure.pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM Portal Password Reset Procedure.pdf"
"167","IIPM Privacy Notice","5/25/2018","yes","general","IIPM Privacy Notice","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM Privacy Notice"
"368","IIPM September webinar - Slides","10/9/2024","yes","past_seminars","IIPM September 2024 Webinar FINAL.pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM September 2024 Webinar FINAL.pdf"
"314","IIPM September 2023 webinar","9/14/2023","yes","past_seminars","IIPM September FINAL SLIDES_1.pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM September FINAL SLIDES_1.pdf"
"222","IIPM & SoA Webinar October 2021 slides","11/4/2021","yes","general","IIPM SoA Slides Oct-21.pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM SoA Slides Oct-21.pdf"
"375","IIPM November 2024 Webinar - Slides","11/12/2024","yes","past_seminars","IIPM Webinar 7 Nov 2024.pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM Webinar 7 Nov 2024.pdf"
"281","IIPM Constitution 2023","4/4/2023","yes","general","IIPM_Constitution_2023.pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/IIPM_Constitution_2023.pdf"
"224","IIPM and The Insurance Institute Webinar 28 October 2021 Slides","11/25/2021","yes","general","ISY_IIPM_II_Slides_281021 FINAL.pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/ISY_IIPM_II_Slides_281021 FINAL.pdf"
"269","IIPM March 2023 - Delegate handouts 1","3/10/2023","yes","general","JPMAM Q1 23-guide-to-the-markets.pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/JPMAM Q1 23-guide-to-the-markets.pdf"
"271","IIPM March 2023 - Delegate handouts 2","3/10/2023","yes","general","JPMAM Q4 22-guide-to-alternatives.pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/JPMAM Q4 22-guide-to-alternatives.pdf"
"360","IIPM June Seminar - LCP Master Trusts Survey 2024 - Slides","6/27/2024","yes","past_seminars","LCP Ireland Master Trust Survey 2024.pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/LCP Ireland Master Trust Survey 2024.pdf"
"336","Nomination for IIPM Council 2024","3/26/2024","yes","general","Nomination for Council 2024.pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/Nomination for Council 2024.pdf"
"342","AGM Notice 2024","3/27/2024","yes","general","Notice of AGM to Members 2024-v2_0.pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/Notice of AGM to Members 2024-v2_0.pdf"
"346","IIPM March 2024 Webinar","3/28/2024","yes","past_seminars","NWD 2024 - Ireland - FINAL.pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/NWD 2024 - Ireland - FINAL.pdf"
"207","Password and Portal Access","12/18/2019","yes","general","Password Reset Notes.pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/Password Reset Notes.pdf"
"203","Privacy Notice","10/16/2019","yes","general","PRIVACY NOTICE OCT 2019.pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/PRIVACY NOTICE OCT 2019.pdf"
"344","Proxy Form AGM 2024","3/27/2024","yes","general","Proxy Form AGM 2024-v2.pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/Proxy Form AGM 2024-v2.pdf"
"293","AE Rosheen Callendar summary 30 March 2023","4/19/2023","yes","general","Rosheen Callendar summary.pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/Rosheen Callendar summary.pdf"
"374","IIPM & SAI October 2024 webinar - Slides","10/25/2024","yes","past_seminars","Slides 24 Oct 2024 FINAL.pdf","https://iipm.propellerdxb.com/wp-content/uploads/2025/02/Slides 24 Oct 2024 FINAL.pdf"
